Country;Platform
99;200395
99;8153
99;8154
99;5975
99;5681
99;5855
99;8462
99;5749
99;2081
99;1517
99;1950
99;1578
99;5730
99;1395
99;5713
99;5923
99;5742
99;1518
99;5706
99;5944
99;1978
99;5641
99;5837
99;1745
99;6344
99;25
99;6512
99;6578
99;6422
99;5227
99;3795
99;3435
99;6052
99;6575
99;2999
99;3310
99;4333
99;6632
99;6712
99;1622
99;7898
99;934
99;6599
99;4210
99;1815
99;6579
99;7906
99;544
99;3222
99;4469
99;7913
99;5696
99;7907
99;2635
99;2540
99;4687
99;8840
99;5002
99;4956
99;3579
99;6745
99;7241
99;3927
99;7592
99;509
99;486
99;5612
99;7900
99;629
99;500
99;7426
99;521
99;7581
99;530
99;7369
99;7434
99;6835
99;7368
99;7902
99;6521
99;5542
99;7903
99;7908
99;7618
99;7603
99;3929
99;2809
99;659
99;7890
99;7621
99;7904
99;7619
99;7892
99;7891
99;5249
99;4870
99;7768
99;4981
99;8115
99;8107
99;8638
99;457
99;4359
99;879
99;9422
99;9854
99;9925
99;9916
99;9975
99;8634
99;9974
99;9973
99;9988
99;10003
99;10002
99;9919
99;9920
99;9979
99;10012
99;10033
99;9700
99;10053
99;10054
99;10139
99;10141
99;10120
99;10181
99;9329
99;10248
99;10249
99;10289
99;10292
99;10286
99;10287
99;10288
99;10290
99;10291
99;10179
99;10342
99;10343
99;6743
99;10438
99;10440
99;10576
99;10435
99;10806
99;10805
99;10434
99;10393
99;10394
99;10573
99;11108
99;11167
99;11213
99;11309
99;11478
99;11479
DK;59564
DK;1265
DK;1187
DK;1229
DK;1240
DK;7410
DK;1188
DK;1244
DK;1206
DK;1218
DK;1277
DK;1279
DK;1200
DK;1278
DK;1196
DK;1280
DK;1248
DK;1222
DK;1201
DK;1285
DK;1198
DK;1217
DK;1231
DK;1245
DK;1220
DK;1185
DK;1270
DK;1194
DK;1235
DK;1227
DK;1252
DK;1225
DK;1275
DK;1216
DK;1256
DK;1179
DK;1184
DK;1189
DK;1224
DK;1257
DK;1193
DK;1197
DK;1232
DK;1214
DK;1276
DK;1228
DK;1191
DK;1262
DK;1213
DK;1223
DK;1269
DK;1258
DK;1249
DK;1219
DK;1253
DK;1207
DK;1195
DK;1241
DK;1259
DK;1242
DK;1192
DK;1264
DK;182
DK;6776
DK;1261
DK;6778
DK;6777
DK;7726
DK;7612
DK;7728
DK;7725
DK;7730
DK;7729
DK;7723
DK;9823
DK;7710
DK;7724
DK;7722
DK;7560
DK;9278
DK;8649
DK;9277
DK;8665
DK;8704
DK;9176
DK;9313
DK;1267
DK;7406
DK;10497
DK;1211
DK;1260
GB;8152
GB;10441
GB;8143
GB;8151
GB;8148
GB;8142
GB;8747
GB;7651
GB;5745
GB;5766
GB;5832
GB;5894
GB;10173
GB;8764
GB;5834
GB;5906
GB;8781
GB;8786
GB;8772
GB;8778
GB;8783
GB;8777
GB;8780
GB;8789
GB;8763
GB;8767
GB;8773
GB;8771
GB;8784
GB;8768
GB;8762
GB;8775
GB;8770
GB;8774
GB;8782
GB;5910
GB;8769
GB;8776
GB;8779
GB;8765
GB;8766
GB;8785
GB;5808
GB;7652
GB;5740
GB;5918
GB;5829
GB;9269
GB;5811
GB;6112
GB;5957
GB;7640
GB;5848
GB;5925
GB;5954
GB;5824
GB;5823
GB;8041
GB;5876
GB;5838
GB;5916
GB;5970
GB;5804
GB;6758
GB;5783
GB;10169
GB;5926
GB;5934
GB;5988
GB;5647
GB;5781
GB;5795
GB;5708
GB;5666
GB;5912
GB;5774
GB;5842
GB;5889
GB;5750
GB;5665
GB;5704
GB;5887
GB;5802
GB;5922
GB;5862
GB;5857
GB;5773
GB;5896
GB;5917
GB;5927
GB;5951
GB;8471
GB;7203
GB;8470
GB;6004
GB;8447
GB;5841
GB;5717
GB;5681
GB;8446
GB;5732
GB;5936
GB;5772
GB;5873
GB;8465
GB;5763
GB;5756
GB;5944
GB;5973
GB;5975
GB;8463
GB;8165
GB;5942
GB;5725
GB;6000
GB;8445
GB;5976
GB;6878
GB;5890
GB;8442
GB;5872
GB;8181
GB;5743
GB;5943
GB;5639
GB;5729
GB;5861
GB;5716
GB;5931
GB;5855
GB;2400
GB;5728
GB;5734
GB;5646
GB;8430
GB;8424
GB;5847
GB;8469
GB;8462
GB;8441
GB;5995
GB;8427
GB;5747
GB;5980
GB;5924
GB;8450
GB;8466
GB;8460
GB;6063
GB;5411
GB;5744
GB;5821
GB;8432
GB;5710
GB;5749
GB;8451
GB;8453
GB;5724
GB;5737
GB;5961
GB;5953
GB;5983
GB;8325
GB;5739
GB;5888
GB;5758
GB;8461
GB;5907
GB;8452
GB;5978
GB;5996
GB;5982
GB;8444
GB;5987
GB;5735
GB;5868
GB;5748
GB;5712
GB;5933
GB;6884
GB;5991
GB;5807
GB;5742
GB;5705
GB;5964
GB;5892
GB;8429
GB;5874
GB;5968
GB;5796
GB;5731
GB;5967
GB;5866
GB;5878
GB;5738
GB;5645
GB;5994
GB;5662
GB;5703
GB;5810
GB;5649
GB;5849
GB;5714
GB;5962
GB;5723
GB;5993
GB;5656
GB;5986
GB;5969
GB;5751
GB;5997
GB;5707
GB;5759
GB;5863
GB;5670
GB;5999
GB;5923
GB;5675
GB;5727
GB;5699
GB;5702
GB;5945
GB;5730
GB;5903
GB;5713
GB;5955
GB;5684
GB;5913
GB;5965
GB;5800
GB;5698
GB;5992
GB;5966
GB;5860
GB;5846
GB;5726
GB;5919
GB;5902
GB;5682
GB;5950
GB;5935
GB;5673
GB;5840
GB;5948
GB;5706
GB;5826
GB;5688
GB;5854
GB;5679
GB;5958
GB;5921
GB;5856
GB;5870
GB;5697
GB;5794
GB;5667
GB;5767
GB;5875
GB;5851
GB;5644
GB;5908
GB;5865
GB;5775
GB;5915
GB;5949
GB;5928
GB;5930
GB;5764
GB;5899
GB;5741
GB;5990
GB;5819
GB;5833
GB;5985
GB;5664
GB;5998
GB;5891
GB;5752
GB;5904
GB;5786
GB;2551
GB;8171
GB;5871
GB;5852
GB;5844
GB;5911
GB;7824
GB;5668
GB;5837
GB;5977
GB;5825
GB;5881
GB;6879
GB;5709
GB;5937
GB;5817
GB;5701
GB;5830
GB;2472
GB;5720
GB;6110
GB;5769
GB;7202
GB;5879
GB;5898
GB;5722
GB;8646
GB;6882
GB;5719
GB;5777
GB;5733
GB;5886
GB;5820
GB;5869
GB;5867
GB;5640
GB;5893
GB;6035
GB;5895
GB;5754
GB;5835
GB;5822
GB;6107
GB;5685
GB;5635
GB;5768
GB;5658
GB;5746
GB;5753
GB;5809
GB;5633
GB;5882
GB;6108
GB;5762
GB;8647
GB;9047
GB;8578
GB;5653
GB;5650
GB;5642
GB;5929
GB;6037
GB;5634
GB;5806
GB;5761
GB;5805
GB;5814
GB;7505
GB;5694
GB;5695
GB;5792
GB;5793
GB;5637
GB;5939
GB;5971
GB;5914
GB;5816
GB;5815
GB;5850
GB;6109
GB;5648
GB;5812
GB;5831
GB;5799
GB;5687
GB;6080
GB;5932
GB;6023
GB;5843
GB;6077
GB;7898
GB;5959
GB;5960
GB;6081
GB;5941
GB;5696
GB;6880
GB;5836
GB;6883
GB;6061
GB;6881
GB;5293
GB;6084
GB;6875
GB;7559
GB;9432
GB;8581
GB;8580
GB;7364
GB;7715
GB;7528
GB;9271
GB;5909
GB;7622
GB;6095
GB;7663
GB;8846
GB;8115
GB;8602
GB;8658
GB;8657
GB;8656
GB;8702
GB;9421
GB;8491
GB;5776
GB;8853
GB;8827
GB;8884
GB;8751
GB;9087
GB;8991
GB;9036
GB;9053
GB;9084
GB;9075
GB;8662
GB;9328
GB;9716
GB;9560
GB;9418
GB;9058
GB;10530
GB;10640
GB;10398
GB;9422
GB;10827
GB;10484
GB;6014
GB;11110
GB;10637
RU;8141
RU;8140
RU;8149
RU;8155
RU;7123
RU;6584
RU;7077
RU;8095
RU;6289
RU;8096
RU;8098
RU;8097
RU;7070
RU;10339
RU;10340
RU;6467
RU;10449
RU;10506
RU;7299
RU;9349
RU;7045
RU;6456
RU;7063
RU;10503
RU;10387
RU;6555
RU;10386
RU;7068
RU;6389
RU;7073
RU;6304
RU;7065
RU;10508
RU;9842
RU;10014
RU;9286
RU;10505
RU;10504
RU;7275
RU;10507
RU;7020
RU;7645
RU;6565
RU;7288
RU;10317
RU;7075
RU;6984
RU;7076
RU;6449
RU;6731
RU;6484
RU;6941
RU;6437
RU;6948
RU;6575
RU;6362
RU;6342
RU;7693
RU;6395
RU;6579
RU;6421
RU;6632
RU;7522
RU;6519
RU;6336
RU;6450
RU;6501
RU;6432
RU;6305
RU;6332
RU;6333
RU;6599
RU;7457
RU;7740
RU;6326
RU;7112
RU;6422
RU;6593
RU;6420
RU;403
RU;6578
RU;8125
RU;7600
RU;6522
RU;6930
RU;6585
RU;9510
RU;10243
RU;7699
RU;6334
RU;8554
RU;7534
RU;6404
RU;8552
RU;6521
RU;6744
RU;7739
RU;7575
RU;7053
RU;10489
RU;6591
RU;8564
RU;7138
RU;6640
RU;7800
RU;6650
RU;9375
RU;7164
RU;7535
RU;7796
RU;9513
RU;7520
RU;8553
RU;7561
RU;6306
RU;7524
RU;7777
RU;9927
RU;7795
RU;7521
RU;8850
RU;9341
RU;7793
RU;6728
RU;7794
RU;9346
RU;9359
RU;6352
RU;7571
RU;9926
RU;7573
RU;9323
RU;9322
RU;9320
RU;9318
RU;6349
RU;9317
RU;9321
RU;9345
RU;9340
RU;9348
RU;9347
RU;9357
RU;9332
RU;6942
RU;9677
RU;9372
RU;9376
RU;9319
RU;10769
RU;10768
FR;4043
FR;8145
FR;8147
FR;8597
FR;4245
FR;4252
FR;6826
FR;4140
FR;4282
FR;4122
FR;4240
FR;4269
FR;4274
FR;4164
FR;4277
FR;7510
FR;7511
FR;4275
FR;4271
FR;4052
FR;4142
FR;4157
FR;4288
FR;4227
FR;4099
FR;4059
FR;4290
FR;4101
FR;4145
FR;4214
FR;4204
FR;4248
FR;4221
FR;4237
FR;4229
FR;4064
FR;4171
FR;4097
FR;4292
FR;4135
FR;4044
FR;4049
FR;4054
FR;4289
FR;4268
FR;4075
FR;4062
FR;4224
FR;4053
FR;4358
FR;4205
FR;4193
FR;4209
FR;1969
FR;4138
FR;4187
FR;4233
FR;4225
FR;4234
FR;4178
FR;4195
FR;4177
FR;4265
FR;4280
FR;4181
FR;4199
FR;4192
FR;4103
FR;4250
FR;4182
FR;4139
FR;4298
FR;4296
FR;4232
FR;4190
FR;4072
FR;4301
FR;2512
FR;4183
FR;4141
FR;4148
FR;4278
FR;4231
FR;4155
FR;4133
FR;4046
FR;4173
FR;4347
FR;4270
FR;4111
FR;4143
FR;7326
FR;7327
FR;4168
FR;5890
FR;4161
FR;4060
FR;4184
FR;134
FR;4295
FR;4127
FR;4223
FR;4088
FR;4091
FR;4105
FR;4196
FR;4189
FR;4130
FR;4185
FR;4121
FR;4220
FR;4085
FR;4071
FR;4210
FR;4198
FR;4208
FR;4206
FR;4207
FR;4163
FR;4260
FR;4254
FR;4266
FR;4165
FR;4279
FR;4092
FR;4089
FR;4087
FR;4299
FR;4093
FR;5262
FR;7060
FR;4239
FR;4095
FR;4150
FR;4067
FR;4216
FR;4285
FR;4118
FR;4108
FR;4312
FR;4281
FR;4128
FR;4217
FR;4065
FR;4291
FR;4175
FR;4293
FR;4151
FR;4256
FR;4255
FR;7439
FR;7438
FR;4262
FR;4263
FR;4200
FR;4258
FR;4300
FR;8551
FR;4272
FR;4202
FR;8851
FR;4333
FR;4304
FR;4215
FR;324
FR;7874
FR;4287
FR;4069
FR;4284
FR;4329
FR;4273
FR;4066
FR;7873
FR;8582
FR;127
FR;7335
FR;7332
FR;6711
FR;7437
FR;4241
FR;4359
FR;7913
FR;6825
FR;6827
FR;4416
FR;7882
FR;4286
FR;7529
FR;7436
FR;7243
FR;7875
FR;7920
FR;7884
FR;7767
FR;3916
FR;7426
FR;8607
FR;7587
FR;7579
FR;2540
FR;7880
FR;8583
FR;8102
FR;7885
FR;7603
FR;7892
FR;7595
FR;8159
FR;8627
FR;10885
FR;8897
FR;8626
FR;8852
FR;8661
FR;8664
FR;8836
FR;9421
FR;8826
FR;8848
FR;9042
FR;9422
FR;9698
FR;9956
FR;10001
FR;10344
FR;10366
FR;10602
FR;10763
FR;10609
FR;10600
FR;10606
FR;11522
FR;10603
FR;10761
FR;10594
FR;10601
FR;11519
FR;11520
US;8146
US;2561
US;1659
US;3739
US;2052
US;2105
US;2161
US;1356
US;1377
US;2394
US;3743
US;3148
US;8788
US;2447
US;2049
US;1374
US;1538
US;1387
US;2002
US;7270
US;3466
US;2319
US;1359
US;7271
US;8740
US;1512
US;2453
US;1796
US;1477
US;1898
US;1749
US;1587
US;1539
US;1362
US;844
US;1791
US;1436
US;2655
US;1573
US;1370
US;1818
US;1801
US;1616
US;1567
US;2117
US;1786
US;1984
US;1427
US;1503
US;1407
US;1860
US;2804
US;1392
US;1832
US;1513
US;8016
US;3177
US;1858
US;8244
US;8310
US;2156
US;4811
US;8377
US;6789
US;1598
US;8317
US;2094
US;3731
US;2460
US;1410
US;1507
US;1399
US;1354
US;2860
US;8326
US;3188
US;2000
US;1969
US;2221
US;2966
US;1623
US;3774
US;3041
US;2029
US;1750
US;3064
US;6790
US;1375
US;2484
US;8269
US;6792
US;1723
US;8246
US;1431
US;6791
US;8174
US;6788
US;6793
US;2739
US;2806
US;6787
US;1685
US;1985
US;8230
US;8280
US;8346
US;1405
US;2360
US;8328
US;8327
US;6784
US;8381
US;3199
US;3875
US;1687
US;8329
US;1652
US;8324
US;8330
US;2028
US;8331
US;1802
US;3771
US;8224
US;2908
US;2701
US;1391
US;8289
US;8271
US;3079
US;8264
US;8199
US;3155
US;3838
US;6781
US;1760
US;2166
US;1981
US;8201
US;8259
US;8312
US;2676
US;1416
US;3193
US;2443
US;3805
US;2910
US;1838
US;1773
US;2720
US;3615
US;8235
US;2023
US;1978
US;8193
US;1617
US;8416
US;3129
US;2012
US;1397
US;8220
US;8362
US;1856
US;8284
US;8223
US;8418
US;8209
US;1721
US;8208
US;8344
US;3299
US;8363
US;8314
US;2595
US;3710
US;2517
US;8207
US;2489
US;6818
US;8270
US;3907
US;6785
US;8417
US;2425
US;1793
US;8301
US;8411
US;8412
US;7771
US;8286
US;8361
US;3286
US;1475
US;1450
US;8414
US;8423
US;3863
US;2926
US;2674
US;2180
US;8197
US;3882
US;1627
US;3804
US;3241
US;8413
US;1420
US;1907
US;8338
US;2889
US;8382
US;3116
US;1352
US;8404
US;3888
US;1606
US;3128
US;8182
US;3514
US;1560
US;2630
US;3794
US;1785
US;2899
US;3706
US;8242
US;8221
US;1369
US;2259
US;8415
US;8163
US;2743
US;1811
US;8187
US;1825
US;3822
US;1380
US;3147
US;1423
US;2748
US;2249
US;1633
US;2018
US;8283
US;2722
US;1499
US;3681
US;1596
US;8198
US;3521
US;1902
US;1365
US;3848
US;3427
US;2092
US;1522
US;1514
US;3458
US;8332
US;8205
US;8347
US;3808
US;2688
US;1440
US;3020
US;1834
US;3740
US;3305
US;2446
US;8178
US;3456
US;3457
US;1479
US;1480
US;2838
US;2413
US;3261
US;3884
US;3599
US;8410
US;8196
US;3598
US;2671
US;1429
US;3013
US;3445
US;1668
US;2711
US;1435
US;3335
US;1993
