Platform;Country
200395;99
59564;DK
8152;GB
10441;GB
8141;RU
8153;99
8140;RU
8149;RU
4043;FR
8145;FR
8147;FR
8154;99
8146;US
8143;GB
8151;GB
8148;GB
2561;US
8142;GB
1659;US
1659;CA
8155;RU
3739;US
8144;AT
6233;SE
6232;SE
7123;RU
7123;SU
6584;RU
6584;SU
7077;RU
8095;RU
8939;NO
8940;NO
8935;NO
1265;DK
6289;RU
6289;SU
8096;RU
8951;NO
1115;KR
8955;NO
8956;NO
8914;NO
8954;NO
8959;NO
8960;NO
8943;NO
8938;NO
8098;RU
8929;NO
5308;NO
8922;NO
8964;NO
8946;NO
8927;NO
8928;NO
8926;NO
8957;NO
8915;NO
8950;NO
10461;AT
8907;NO
8747;GB
8931;NO
5299;NO
10462;SE
2052;US
8952;NO
8941;NO
8936;NO
8910;NO
296;DE
8937;NO
8947;NO
10463;NO
8961;NO
8097;RU
7070;RU
7070;SU
8944;NO
2105;US
10460;NO
8920;NO
6268;SE
9195;SE
9192;SE
9194;SE
735;AT
10339;RU
2161;US
8966;NO
8598;NL
6247;SE
9190;SE
8934;NO
1356;US
9191;SE
6257;SE
6251;SE
8967;NO
1377;US
536;AU
7651;GB
2394;US
5745;NO
5745;GB
8932;NO
8913;NO
8908;NO
8919;NO
10340;RU
5766;GB
6467;RU
3743;US
5832;GB
8904;NO
1187;DK
8923;NO
8962;NO
8930;NO
10449;RU
736;AT
10506;RU
7299;RU
9349;RU
4021;FI
5894;GB
1229;DK
6916;MC
6916;YU
10173;GB
8764;GB
1225;NO
1225;DK
3148;US
7656;NO
6234;SE
5334;NO
5834;GB
7045;RU
7045;SU
8906;NO
737;AT
6456;RU
6456;SU
8918;NO
5906;GB
7063;RU
10503;RU
8781;GB
8786;GB
8772;GB
8778;GB
8783;GB
1240;DK
8777;GB
8780;GB
8789;GB
8763;GB
8767;GB
8773;GB
8788;US
8771;GB
8784;GB
8768;GB
8762;GB
8775;GB
8770;GB
8942;NO
7410;DK
8787;DE
8774;GB
2447;US
8782;GB
5910;GB
8769;GB
8776;GB
5409;NO
8779;GB
8765;GB
8766;GB
8785;GB
10387;RU
6555;RU
6555;SU
10386;RU
8679;BE
8905;NO
7066;NO
7068;RU
7068;SU
7644;SE
6389;RU
6389;SU
10176;DE
277;DE
7073;RU
8917;NO
6304;RU
7065;RU
7065;SU
9573;NO
10508;RU
9842;RU
4033;FI
5345;NO
4019;FI
3966;FI
1188;DK
5372;NO
4022;FI
10014;RU
4035;FI
4027;FI
4034;FI
3967;FI
10041;DE
5808;GB
8909;NO
5340;NO
7652;GB
3980;FI
8953;NO
3982;FI
5740;GB
1244;DK
1206;DK
1218;DK
473;AR
9286;RU
9286;SU
4039;FI
6250;SE
6252;SE
5540;NL
6256;SE
5918;GB
5829;GB
3998;FI
9269;GB
6241;SE
8963;NO
1277;DK
5811;GB
6230;SE
4001;FI
6112;GB
749;BE
5957;GB
9193;SE
7986;DE
8933;NO
1279;DK
4427;IE
2049;US
5519;NL
6253;SE
744;BE
7640;GB
752;BE
8965;NO
8945;NO
1200;DK
8948;NO
4522;IT
10505;RU
8597;FR
1278;DK
8924;NO
10504;RU
8958;NO
7275;RU
7275;SU
10507;RU
4245;FR
8911;NO
8912;NO
6245;SE
7020;RU
7507;IT
7506;IT
7506;ES
5335;NO
4508;IT
6848;NO
8949;NO
1374;US
7645;RU
5848;GB
4020;FI
4007;FI
3963;FI
4018;FI
4032;FI
3985;FI
3979;FI
3999;FI
4010;FI
5925;GB
431;YU
431;AT
431;DE
4031;FI
249;DE
333;DE
4008;FI
4038;FI
4017;FI
3984;FI
4003;FI
300;DE
5954;GB
5954;CA
4006;FI
1333;IT
1333;ES
5824;GB
5410;NO
1196;DK
875;CA
1538;US
5823;GB
1280;DK
7658;DE
5300;NO
1248;DK
6565;RU
6565;SU
3977;FI
1387;US
4014;FI
8041;GB
4012;FI
2002;US
7270;US
230;DE
974;CA
787;CA
10512;JP
3466;US
2319;US
4252;FR
1222;DK
969;CA
5367;NO
7288;RU
7288;SU
1359;US
10317;RU
10317;SU
7271;US
3976;FI
3988;FI
4024;FI
4002;FI
6671;ZA
5876;GB
3986;FI
4016;FI
4023;FI
4037;FI
3997;FI
7075;RU
4013;FI
3989;FI
3987;FI
3995;FI
6826;FR
4000;FI
3978;FI
4029;FI
3983;FI
4028;FI
7511;ES
7511;FR
4005;FI
8740;US
5838;GB
1512;US
5916;GB
5916;US
2453;US
3974;FI
3996;FI
6984;RU
5970;GB
3990;FI
4140;FR
4282;FR
4122;FR
5804;GB
7076;RU
7076;SU
6449;RU
6449;SU
4240;FR
1201;DK
6758;GB
4269;FR
4274;FR
1796;US
1316;ES
4164;FR
3975;FI
6237;SE
5783;GB
5388;NO
9371;SU
4518;IT
1477;US
1898;US
1749;US
4490;IT
10321;SU
6540;SU
5620;PT
5359;NO
4865;JP
1314;ES
6672;ZA
4277;FR
10172;NO
6497;SU
5315;NO
9335;SU
5328;NO
7510;FR
7510;ES
10351;SU
799;CA
6751;SU
1587;US
10169;GB
3993;FI
5616;PT
1539;US
4439;IE
6407;SU
7053;SU
7053;RU
424;DE
6505;SU
7512;MC
10319;SU
1285;DK
6416;SU
202;DE
6418;SU
5402;NO
6511;SU
7648;SU
7780;SU
7030;SU
10332;SU
342;DE
6542;SU
5926;GB
5934;GB
4275;FR
330;DE
330;SU
1341;ES
5988;GB
5988;US
7071;SU
8040;JP
9758;SU
4271;FR
10311;SU
7074;SU
7064;SU
7072;SU
7649;SU
10315;SU
7069;SU
9810;SU
6744;SU
6744;US
6744;CA
6744;ZZ
6744;RU
9353;SU
7276;SU
5371;NO
4052;FR
4142;FR
1334;ES
4157;FR
1362;US
10264;SU
1198;DK
6954;SU
844;CA
844;US
6537;SU
390;DE
6299;SU
6299;UA
4025;FI
4288;FR
10322;SU
851;CA
5043;JP
1322;ES
10320;SU
6231;SE
6518;SU
191;DE
5647;GB
5376;NO
407;DE
5629;PT
5781;GB
1791;US
10103;SU
4227;FR
5115;JP
4099;FR
1436;US
4059;FR
1217;DK
10151;NO
1231;DK
2655;US
6431;SU
7036;SU
1293;EG
1573;US
6517;SU
6517;UA
5363;NO
5795;GB
513;AR
6473;SU
4859;JP
4290;FR
511;AR
7280;SU
7035;SU
5708;GB
472;AR
8672;LT
8667;LT
8671;LT
8669;LT
8670;LT
5541;NL
5666;GB
5666;DE
5398;NO
5912;GB
1328;ES
5774;GB
10347;SU
6441;SU
6859;NO
5348;NO
5322;NO
5842;GB
9297;SU
1344;ES
5889;GB
5750;GB
5750;US
10056;SU
4101;FR
4145;FR
4214;FR
7274;SU
5512;NL
4204;FR
10511;SU
6443;SU
9226;SU
907;CA
5407;NO
446;DE
6325;SU
4248;FR
1141;KR
1141;JP
6414;SU
789;CA
6860;NO
10104;SU
5665;GB
8596;SU
5386;NO
4792;JP
5408;NO
10101;SU
1370;US
1370;CA
253;DE
4736;JP
1245;DK
1220;DK
1185;DK
1270;DK
309;DE
6831;JP
1818;US
10450;SU
845;CA
6214;SE
6655;ZA
1801;US
10152;NO
6996;SU
4221;FR
871;CA
5411;NO
5411;GB
1194;DK
4237;FR
4229;FR
5102;JP
5704;GB
5704;US
10509;SU
7120;SU
4064;FR
4064;US
7291;SU
921;CA
7272;SU
10205;SU
4036;FI
6388;SU
10510;SU
4171;FR
6545;SU
5887;GB
10312;SU
4097;FR
4097;MC
6550;SU
5383;NO
10379;SU
382;DE
6300;SU
4292;FR
7533;SU
6560;SU
8668;LT
4135;FR
754;BE
6412;SU
9763;SU
5325;NO
4718;JP
751;BE
1616;US
4726;JP
6513;SU
383;DE
8838;JP
1567;US
5349;NO
4044;FR
9668;SU
5802;GB
5922;GB
1235;DK
10380;SU
1041;CA
6427;SU
7273;SU
10324;SU
6306;SU
6306;RU
5862;GB
10314;SU
6973;SU
6973;UA
5401;NO
2117;US
1227;DK
4049;FR
6428;SU
6428;CU
1786;US
1786;CA
4738;JP
4797;JP
10334;SU
10333;SU
4742;JP
1252;DK
9343;SU
